hRideF,hRideR,aRollAbs,CLiftBodyF,CLiftBodyR,CDragBody
-0.002654369,0.070993282,0.003328467,1.90616262,2.034353733,0.819639623
-0.009514281,0.088047601,0.014878982,2.128252506,1.943626359,0.878608513
0.000537285,0.090153083,0.016133314,2.016959667,2.160629418,0.882671571
0.004207284,0.084580891,0.016293684,1.915504217,2.165675323,0.859980742
0.002992257,0.082023613,0.01626428,1.908603549,2.12350122,0.850875655
0.001849051,0.07973963,0.016228292,1.902839422,2.08512187,0.843412638
-0.000500355,0.07397794,0.000116887,1.914896369,2.094424248,0.819098711
-0.00264884,0.070921168,0.000118031,1.91211307,2.045230627,0.816287935
-0.004259248,0.068637528,1.44E-05,1.909948349,2.005186319,0.81410414
-0.005540498,0.066877112,4.98E-06,1.908338904,1.971232891,0.812496543
-0.006575505,0.065573171,6.53E-06,1.907975435,1.943005562,0.811347067
-0.007415027,0.064654291,5.17E-08,1.908912897,1.919998765,0.810575068
-0.00809104,0.064033106,3.18E-06,1.910716176,1.901564837,0.810102522
-0.008644145,0.063577734,1.51E-06,1.912664652,1.886469007,0.809776068
-0.009116092,0.063258439,0.000115845,1.914715409,1.873426557,0.809673488
-0.012825455,0.091392741,0.002347201,2.215601921,1.940087887,0.874820404
0.003127167,0.109376699,0.002446316,2.186031818,2.382342258,0.934436182
0.014175957,0.112187356,0.01134378,2.070181646,2.447646328,0.968069549
0.0164079,0.107368253,0.010064184,2.029614664,2.455357396,0.951760903
0.013490372,0.09505301,3.56E-07,2.011991599,2.423661125,0.89460629
-0.0038383,0.082204595,0.003317609,2.024384022,2.058435928,0.838786605
-0.010761963,0.099979028,0.014873909,2.25132823,2.006886032,0.922268517
-0.000302058,0.101401463,0.016102318,2.128948689,2.231001449,0.923518497
0.003397803,0.095726445,0.016240818,2.027193546,2.252461474,0.900302718
0.002102775,0.093209989,0.016211098,2.021957397,2.215051113,0.891336366
0.000883135,0.090959713,0.016173063,2.017729044,2.178213238,0.883374363
-0.001552052,0.085146852,0.000116196,2.030633211,2.143265698,0.845143908
-0.003823888,0.082127303,0.000117391,2.030159712,2.068856067,0.835255819
-0.005536491,0.079874106,1.43E-05,2.029847145,2.010739326,0.828098238
-0.006904538,0.078141585,4.95E-06,2.029793262,1.978071094,0.826558888
-0.008011318,0.076862328,6.50E-06,2.030697584,1.950440168,0.825467765
-0.008906032,0.075942531,5.09E-08,2.032402277,1.92751205,0.824716806
-0.009610959,0.075200528,3.16E-06,2.033498287,1.90885365,0.824110806
-0.010186747,0.074643344,1.50E-06,2.034814358,1.893410563,0.823671281
-0.010686832,0.074312121,0.000115165,2.037114859,1.87986505,0.823564827
-0.014066362,0.103501767,0.002350107,2.338106155,1.99327547,0.918647872
0.002690703,0.120152019,0.002445377,2.284910202,2.411496128,0.973241737
0.014018025,0.122469261,0.01129729,2.159635119,2.474964957,1.004916765
0.016266929,0.117726661,0.010014366,2.120188664,2.494513347,0.98875106
0.013130692,0.105762824,3.56E-07,2.108053122,2.491166019,0.932182983
-0.005037707,0.093972422,0.00331115,2.145828724,2.142895117,0.881347988
-0.012032253,0.112520546,0.014879506,2.377957344,2.038645991,0.968550923
-0.001141143,0.11300575,0.016079249,2.242315292,2.27353094,0.965904857
0.00258964,0.107211277,0.016199239,2.140210152,2.312239527,0.942060262
0.00121166,0.104777865,0.016169544,2.137038231,2.279669055,0.933374109
-8.75E-05,0.102601722,0.016130339,2.134728193,2.246957227,0.925669055
-0.002608025,0.096796043,0.000115754,2.148771763,2.223903239,0.887210801
-0.005013635,0.093885347,0.000117024,2.151348829,2.15361404,0.877765475
-0.00683749,0.091720946,1.42E-05,2.153493643,2.096957088,0.870671422
-0.008300483,0.090066329,4.94E-06,2.15551424,2.049548702,0.865333904
-0.015322095,0.116219066,0.002354268,2.463022709,2.014553868,0.964677385
0.002263264,0.131066337,0.002443218,2.382737398,2.415015232,1.012562247
0.013862286,0.132789418,0.011253088,2.247675337,2.478642043,1.04205715
0.016128916,0.128127366,0.009967516,2.209425817,2.509623917,1.026022505
0.012775921,0.116602786,3.56E-07,2.203425283,2.533251407,0.970234632
0.003273402,0.069002762,0.003371827,1.815559626,2.126555681,0.814836323
-0.003611959,0.08537598,0.015052028,2.032359123,2.0485466,0.865706545
0.006135522,0.088954777,0.016325643,1.945695134,2.232675324,0.878327067
0.009826519,0.083639652,0.016498143,1.880237326,2.223485986,0.865471429
0.008673393,0.08091069,0.016468966,1.86051109,2.184548676,0.852986089
0.007591701,0.078450643,0.016434696,1.84252742,2.161265135,0.845358588
0.005305442,0.072378986,0.000119525,1.831701543,2.178480625,0.815584279
0.003268753,0.068941526,0.000120703,1.821946979,2.137330055,0.811546504
